order_id	driver_id	passenger_id	start_region_hash	dest_region_hash	Price	Time
47a2a8d32fbb2c4bd774428f0287d416	751d07e97f9949d70214c00f176466ab	17dde296e1613e2256edce3deaf98a8c	a5609739c6b5c2719a3752327c5e33a7	91690261186ae5bee8f83808ea1e4a01	6	2016-01-05 08:19:31
4603f1679fca30c87f997f8f92ee6a80	NULL	147339b2a0aac9ee792e878e038890a0	2407d482f0ffa22a947068f2551fe62c	2407d482f0ffa22a947068f2551fe62c	7	2016-01-05 08:07:03
6adfaaf50460ccd1be191e187cf7b836	97f101ddd6b7b61d166f6ef6394296d6	bd1b965d9199993d109e80f36581f3cb	2407d482f0ffa22a947068f2551fe62c	a5609739c6b5c2719a3752327c5e33a7	10.9	2016-01-05 18:36:47
709f34e98fdf7ae1e395a52fb508c302	NULL	b3cd995441c12c3a1cefe524849a7c32	82cc4851f9e4faa4e54309f8bb73fd7c	d4ec2125aff74eded207d2d915ef682f	7.6	2016-01-05 07:57:32
8078ce6813fd40b56696bcfef8625be5	NULL	b3cd995441c12c3a1cefe524849a7c32	82cc4851f9e4faa4e54309f8bb73fd7c	d4ec2125aff74eded207d2d915ef682f	7.6	2016-01-05 07:57:32
02aa0eabef4e1c6aa1e3bce2a6436cda	NULL	b3cd995441c12c3a1cefe524849a7c32	82cc4851f9e4faa4e54309f8bb73fd7c	d4ec2125aff74eded207d2d915ef682f	7	2016-01-05 07:57:32
f0e9dd2d4703b1df5cc066610e66201e	NULL	29bcc412e4bb8234d5cb75cfaaede396	2407d482f0ffa22a947068f2551fe62c	91690261186ae5bee8f83808ea1e4a01	3	2016-01-05 08:50:26
9e27b0a33914a94de6a9954defba560a	5adce2d622c3d74e44e8bce46f6c14a0	d7a90d027c4f167bca3b8d27527a43c7	2920ece99323b4c111d6f9affc7ea034	d4ec2125aff74eded207d2d915ef682f	18.3	2016-01-05 16:14:00
14b5ccc94d28956735c7054e00a36215	a902ca6453bf99838714a87f2f2cfdea	0cbae83b4b10399b41460b24d280af87	4725c39a5e5f4c188d382da3910b3f3f	4725c39a5e5f4c188d382da3910b3f3f	49	2016-01-05 17:13:30
6056ad3411e9664905a34ee3b6eb85bc	2f874eb07e57e0683009316a4ec17457	7c6d3b15708f41fdbd55b62a77b038d0	62afaf3288e236b389af9cfdc5206415	ed8eb1876d270f25e29fe4339ad41524	21	2016-01-05 10:56:06
b47bace76439e71b3e42f8c06416c013	e232ba309c7885d91c6ba8e94631d5ac	fb19016aff1f7d4147b7113ce512f6aa	4725c39a5e5f4c188d382da3910b3f3f	905ac1f4c0f46a8d31ac4dc68cef54ca	19	2016-01-05 11:05:14
4efea80c945233078e72e8cad6d09bee	3b85177ed5229972be12332f19a1c222	56f2c9384e927aa330f6b1ef3b94f136	1afd7afbc81ecc1b13886a569d869e8a	1afd7afbc81ecc1b13886a569d869e8a	6	2016-01-05 19:44:35
8a75b230571c4f068cbab67744319946	925fef050d88382cf44c87d9735e03c6	2241e903d0ffc6249d65180249a329d0	38d5ad2d22b61109fd8e7b43cd0e8901	82cc4851f9e4faa4e54309f8bb73fd7c	8	2016-01-05 08:48:53
fd52bfb2f989e58efd2bf35c5a30306c	NULL	2241e903d0ffc6249d65180249a329d0	38d5ad2d22b61109fd8e7b43cd0e8901	82cc4851f9e4faa4e54309f8bb73fd7c	8	2016-01-05 08:48:53
c413c8040014b7950a16a0e58b6bdf5d	NULL	6f24945b4d6be45efffd2c9951c77a44	38d5ad2d22b61109fd8e7b43cd0e8901	82cc4851f9e4faa4e54309f8bb73fd7c	5	2016-01-05 08:22:56
98db6f87b12d8e2959e95d4c8bbc4b01	7b6d43e6765747b25d3e3a6f9df046b7	836d241b5b30fcc4db9faa17b06ee726	d4ec2125aff74eded207d2d915ef682f	d4ec2125aff74eded207d2d915ef682f	7.6	2016-01-05 15:16:02
